Meeting ID,Topic,Start Time,End Time,User Email,Duration (Minutes),Participants,
123456789,Dummy zoom meeting CSV participants file,04/15/2020 03:42:15 PM,04/15/2020 06:07:30 PM,liz.lamm@pox.tu-berlin.de,146,97,

Name (Original Name),User Email,Join Time,Leave Time,Duration (Minutes)
Any Antilope,any.antilope@fmail.com,04/15/2020 04:03:08 PM,04/15/2020 04:55:53 PM,53
Xion Flusspferd,xion.flusspferd@ucbrussels.be,04/15/2020 04:35:13 PM,04/15/2020 05:14:11 PM,39
Mohamed Erdferkel,mohamed.erdferkel@outlook.com,04/15/2020 04:46:06 PM,04/15/2020 05:37:25 PM,52
Anna Nashorn,anna.nashorn@fmail.com,04/15/2020 04:58:38 PM,04/15/2020 05:53:18 PM,55
Anna Nashorn,anna.nashorn@fmail.com,04/15/2020 05:53:19 PM,04/15/2020 06:01:13 PM,8
William Mungo,william.mungo@edu.ac.uk,04/15/2020 03:55:13 PM,04/15/2020 05:55:31 PM,121
Jo Warzenschwein,jo.warzenschwein@ncsu.edu,04/15/2020 03:59:09 PM,04/15/2020 05:29:32 PM,91
Andy Pavian,andy.pavian@iss.imperial.ac.uk,04/15/2020 03:59:10 PM,04/15/2020 05:40:23 PM,102
Kimm Ameise,kimm.ameise@sfx.ca,04/15/2020 03:56:53 PM,04/15/2020 06:06:40 PM,130
Neil Biene,neil.biene@fmail.com,04/15/2020 04:06:06 PM,04/15/2020 04:49:19 PM,44
Len Wespe,len.wespe@fmail.com,04/15/2020 03:57:02 PM,04/15/2020 05:39:35 PM,103
Dean Hornisse,dean.hornisse@carbon.earth,04/15/2020 03:57:09 PM,04/15/2020 05:09:36 PM,73
Denise Skorpion,denise.skorpion@int.com,04/15/2020 03:57:12 PM,04/15/2020 04:52:04 PM,55
Sarah Giftschlange,sarah.giftschlange@grenoble.fr,04/15/2020 04:12:35 PM,04/15/2020 05:52:07 PM,100
Dave Zecke,dave.zecke@aix.ac.at,04/15/2020 04:13:09 PM,04/15/2020 05:58:23 PM,106
Gene Mücke,gene.mücke@ucbrussels.be,04/15/2020 03:59:06 PM,04/15/2020 06:00:47 PM,122
Larry Moskito,larry.moskito@ucc.ac.uk,04/15/2020 03:59:10 PM,04/15/2020 04:53:30 PM,55
Grace Bremse,grace.bremse@uct.ac.uk,04/15/2020 04:02:04 PM,04/15/2020 05:16:56 PM,75
Jane Bettwanze,jane.bettwanze@tu-berlin.de,04/15/2020 04:04:24 PM,04/15/2020 05:55:16 PM,111
Yinse Käfer,yinse.käfer@pond.rwth-aachen.de,04/15/2020 03:59:17 PM,04/15/2020 05:52:12 PM,113
Veronica Kakerlake,veronica.kakerlake@ubc.ca,04/15/2020 03:59:58 PM,04/15/2020 05:54:57 PM,115
Henry Küchenschabe,henry.küchenschabe@fmail.com,04/15/2020 04:18:58 PM,04/15/2020 05:53:18 PM,95
Lou Gecko,lou.gecko@grenoble.fr,04/15/2020 04:50:09 PM,04/15/2020 04:54:15 PM,5
Paula Wal,paula.wal@iss.imperial.ac.uk,04/15/2020 03:42:30 PM,04/15/2020 05:41:41 PM,120
Tim Spinne,tim.spinne@potsdam.de,04/15/2020 03:48:32 PM,04/15/2020 05:04:14 PM,76
Derick Hai,derick.hai@fmail.com,04/15/2020 03:58:41 PM,04/15/2020 06:02:33 PM,124
Toni Walross,toni.walross@googlemail.com,04/15/2020 04:08:59 PM,04/15/2020 05:33:12 PM,85
Agnese Beltramo,beltramo@kthe.se,04/15/2020 04:03:17 PM,04/15/2020 05:49:57 PM,107
Pat Delfin,pat.delfin@mits.edu,04/15/2020 04:19:10 PM,04/15/2020 05:47:07 PM,88
Lou Gecko,lou.gecko@grenoble.fr,04/15/2020 04:54:47 PM,04/15/2020 05:50:53 PM,57
Tanya Hummer,tanya.hummer@carnegie.edu,04/15/2020 04:05:04 PM,04/15/2020 05:52:17 PM,108
Adrian Hase,adrian.hase@iss.imperial.ac.uk,04/15/2020 05:41:48 PM,04/15/2020 06:01:16 PM,20
Robin Garnele,robin.garnele@carnegie.edu,04/15/2020 04:32:59 PM,04/15/2020 05:52:39 PM,80
Lou Gecko,lou.gecko@grenoble.fr,04/15/2020 05:50:54 PM,04/15/2020 05:52:27 PM,2
Lenny Seestern,lenny.seestern@wix.tu-berlin.de,04/15/2020 03:42:32 PM,04/15/2020 05:51:31 PM,129
Eliz Seeigel,eliz.seeigel@kix.edu,04/15/2020 03:56:44 PM,04/15/2020 05:57:36 PM,121
Danella Tintenfisch,danella.tintenfisch@code.ch,04/15/2020 03:57:07 PM,04/15/2020 05:48:36 PM,112
Fred Krake,fred.krake@fiat.uni-frankfurt.de,04/15/2020 03:58:38 PM,04/15/2020 05:59:18 PM,121
Henry Meeresschildkröte,henry.meeresschildkröte@kthe.se,04/15/2020 04:12:24 PM,04/15/2020 05:48:52 PM,97
Andi Stachelrochen,andi.stachelrochen@frank.cmu.edu,04/15/2020 04:50:00 PM,04/15/2020 06:07:30 PM,78
Amy Seelöwe,amy.seelöwe@fmail.com,04/15/2020 04:55:54 PM,04/15/2020 04:58:38 PM,3
Mike Eisbär,mike.eisbär@ipr.pl,04/15/2020 03:42:37 PM,04/15/2020 06:01:20 PM,139
Tim Pinguin,tim.pinguin@kux.be,04/15/2020 03:55:45 PM,04/15/2020 05:23:17 PM,88
Marie,marie@xxx.fi,04/15/2020 04:04:51 PM,04/15/2020 05:57:33 PM,113
Bill Schneeleopard,bill.schneeleopard@abc.com,04/15/2020 04:08:53 PM,04/15/2020 05:48:12 PM,100
David Narwal,david.narwal@abcd.com,04/15/2020 05:25:41 PM,04/15/2020 05:55:48 PM,31
Marie Karibu,marie.karibu@hotmail.com,04/15/2020 03:42:41 PM,04/15/2020 05:52:14 PM,130
Alex Krähe,alex.krähe@fmail.com,04/15/2020 03:44:53 PM,04/15/2020 05:58:38 PM,134
Denise Wellensittich,denise.wellensittich@fred.cmu.edu,04/15/2020 03:48:50 PM,04/15/2020 05:54:35 PM,126
Andy Wassermolch,andy.wassermolch@pond.rwth-aachen.de,04/15/2020 03:58:41 PM,04/15/2020 04:54:59 PM,57
Sally Kaulquappe,sally.kaulquappe@ex-international.com,04/15/2020 04:08:55 PM,04/15/2020 05:55:38 PM,107
Christine Kröte,christine.kroete@potsdam.de,04/15/2020 04:09:31 PM,04/15/2020 05:57:05 PM,108
